Date,NaturalGas,CrudeOil,HeatingOil,Consumption,Production,UndergroundStorage
2013-10-01,3.628999948501587,101.20999908447266,2.999000072479248,1866762,2192600,8181397.0
2013-11-01,3.6110000610351562,93.8599967956543,2.9140000343322754,2316909,2143606,7970919.0
2013-12-01,4.2870001792907715,97.6500015258789,3.050100088119507,2920826,2177887,7255027.0
2014-01-01,4.36899995803833,94.37000274658203,2.9867000579833984,3204129,2198795,6288361.0
2014-02-01,5.03000020980835,100.37000274658203,3.078200101852417,2741240,2033039,5560214.0
2014-03-01,4.485000133514404,100.26000213623047,2.931999921798706,2557890,2267138,5207298.0
2014-04-01,4.619999885559082,101.94000244140625,2.9539999961853027,1961678,2247677,5423037.0
2014-05-01,4.531000137329102,102.0199966430664,2.9305999279022217,1810222,2310058,5900837.0
2014-06-01,4.611999988555908,105.83999633789062,2.989300012588501,1745351,2247082,6363623.0
2014-07-01,4.025500059127808,102.61000061035156,2.874500036239624,1881017,2371359,6761254.0
2014-08-01,3.8970000743865967,96.41000366210938,2.8480000495910645,1933061,2384273,7134689.0
2014-09-01,3.9100000858306885,92.83000183105469,2.740499973297119,1809291,2306544,7556106.0
2014-10-01,3.815999984741211,82.70999908447266,2.513200044631958,1912810,2407070,7954588.0
2014-11-01,4.247000217437744,75.81999969482422,2.4045000076293945,2357521,2314517,7794338.0
2014-12-01,3.638000011444092,56.81999969482422,2.0051000118255615,2679165,2410202,7506012.0
2015-01-01,2.9325000047683716,47.084999084472656,1.6546499729156494,3114982,2420352,6775582.0
2015-02-01,2.753999948501587,50.47999954223633,1.9594000577926636,2925172,2196987,6033940.0
2015-03-01,2.7325000762939453,48.22999954223633,1.7534000277519226,2591329,2443119,5840840.0
2015-04-01,2.6050000190734863,55.7400016784668,1.8708000183105469,2007922,2398440,6162227.0
2015-05-01,2.8510000705718994,59.40999984741211,1.970200002193451,1858149,2442713,6658247.0
2015-06-01,2.774999976158142,59.80999946594238,1.8857499957084656,1899906,2358416,7021808.0
2015-07-01,2.81850004196167,50.89999961853027,1.6704999804496765,2067714,2444753,7304710.0
2015-08-01,2.747999906539917,42.619998931884766,1.5475000143051147,2052728,2447534,7614026.0
2015-09-01,2.6510000228881836,45.40999984741211,1.5297000408172607,1901337,2383531,7987290.0
2015-10-01,2.4459999799728394,46.15999984741211,1.485099971294403,1987310,2445042,8316026.0
2015-11-01,2.262500047683716,42.30999946594238,1.401199996471405,2249140,2356237,8303177.0
2015-12-01,2.0455000400543213,37.10000038146973,1.128600001335144,2588168,2434920,8038172.0
2016-01-01,2.188999891281128,31.450000762939453,0.9957000017166138,3091695,2435375,7307245.0
2016-02-01,1.9539999961853027,30.829999923706055,1.0531499981880188,2652260,2310521,6903611.0
2016-03-01,1.8205000162124634,38.30500030517578,1.1989500522613525,2356298,2441976,6846761.0
2016-04-01,2.003999948501587,41.5,1.263200044631958,2083848,2361554,7009450.0
2016-05-01,2.0759999752044678,47.720001220703125,1.4400999546051025,1965799,2412475,7332475.0
2016-06-01,2.6105000972747803,48.94499969482422,1.5039499998092651,2000656,2312288,7554670.0
2016-07-01,2.7419999837875366,44.849998474121094,1.390749990940094,2186616,2408915,7686988.0
2016-08-01,2.747999906539917,45.7400016784668,1.4499000310897827,2208375,2389813,7810783.0
2016-09-01,2.927000045776367,44.900001525878906,1.4228999614715576,1947752,2297402,8073906.0
2016-10-01,3.0770000219345093,50.06999969482422,1.5679500102996826,1925203,2364679,8384087.0
2016-11-01,2.8040000200271606,45.494998931884766,1.4579499959945679,2159445,2307494,8349053.0
2016-12-01,3.5420000553131104,52.119998931884766,1.6607999801635742,2866273,2357556,7676680.0
2017-01-01,3.2820000648498535,52.69000053405762,1.6412000060081482,2913823,2339431,7000061.0
2017-02-01,2.924999952316284,53.540000915527344,1.638200044631958,2340217,2142588,6714640.0
2017-03-01,3.007999897003174,48.779998779296875,1.5140999555587769,2523331,2425799,6440293.0
2017-04-01,3.184999942779541,51.029998779296875,1.5923000574111938,1932042,2350432,6670165.0
2017-05-01,3.2230000495910645,48.75,1.5124500393867493,1892010,2428739,7011244.0
2017-06-01,3.021999955177307,44.83500099182129,1.4238499999046326,1910441,2373176,7260702.0
2017-07-01,2.955999970436096,46.3700008392334,1.5138999819755554,2141595,2477573,7409892.0
2017-08-01,2.927999973297119,47.869998931884766,1.6312999725341797,2093773,2476180,7605198.0
2017-09-01,3.000499963760376,49.88999938964844,1.7828500270843506,1920466,2438213,7922712.0
2017-10-01,2.9154999256134033,51.46000099182129,1.7924000024795532,2031510,2564255,8170238.0
2017-11-01,3.0739998817443848,56.810001373291016,1.9321000576019287,2357258,2558771,8062349.0
2017-12-01,2.741499900817871,57.545000076293945,1.9367499947547913,3086015,2662670,7392391.0
2018-01-01,3.184999942779541,63.79999923706055,2.071700096130371,3340935,2618315,6497521.0
2018-02-01,2.6389999389648438,61.790000915527344,1.9313000440597534,2710719,2414348,6029758.0
2018-03-01,2.697999954223633,62.34000015258789,1.9033000469207764,2796708,2704217,5743374.0
2018-04-01,2.734999895095825,67.06999969482422,2.091099977493286,2350481,2612541,5777258.0
2018-05-01,2.825500011444092,70.72000122070312,2.222399950027466,2055019,2730667,6199145.0
2018-06-01,2.940000057220459,66.0999984741211,2.1524999141693115,2063144,2655954,6549065.0
2018-07-01,2.7820000648498535,70.12999725341797,2.1333999633789062,2350719,2799146,6735506.0
2018-08-01,2.9170000553131104,67.83000183105469,2.13700008392334,2313836,2855600,6971846.0
2018-09-01,2.8289999961853027,69.87000274658203,2.2356998920440674,2156063,2808817,7306139.0
2018-10-01,3.2019999027252197,70.97000122070312,2.3213000297546387,2285854,2939250,7592871.0
2018-11-01,4.248000144958496,56.459999084472656,2.0741000175476074,2715942,2894098,7386391.0
2018-12-01,3.8269999027252197,49.880001068115234,1.82669997215271,2999510,2975914,7068849.0
2019-01-01,2.9839999675750732,52.310001373291016,1.8808000087738037,3424302,2974830,6360109.0
2019-02-01,2.6619999408721924,55.2599983215332,1.97160005569458,3019120,2705249,5792097.0
2019-03-01,2.819999933242798,58.61000061035156,1.98989999294281,2927812,3008808,5545463.0
2019-04-01,2.5929999351501465,63.88999938964844,2.067199945449829,2212386,2925844,5926851.0
